,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top50_dummy
2478,29743681.0,10.0,14.0,0.877,0.688,1.0,-7.254,1.0,0.11,0.193,0.0,0.0872,0.921,131.022,204693.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58335,2130472.0,1.0,1.0,0.649,0.548,1.0,-5.692,0.0,0.0318,0.733,0.0,0.136,0.506,150.036,169181.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25745,10065137.0,6.0,18.0,0.929,0.563,9.0,-7.428,1.0,0.49,0.000592,0.0,0.244,0.353,129.957,213885.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
43913,7079534.0,2.0,2.0,0.554,0.596,7.0,-8.214,1.0,0.13,0.162,0.00482,0.0805,0.255,165.728,297404.0,4.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84415,2441830.0,4.0,13.0,0.773,0.744,6.0,-5.108,0.0,0.244,0.0114,0.0,0.066,0.764,141.004,190680.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86692,3657373.0,1.0,10.0,0.587,0.199,7.0,-11.615,1.0,0.0574,0.924,0.0,0.13,0.33,136.762,168429.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51741,22910410.0,12.0,18.0,0.746,0.338,11.0,-13.472,0.0,0.109,0.674,0.000375,0.529,0.469,120.053,48423.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
87032,4064479.0,11.0,19.0,0.762,0.705,6.0,-5.195,0.0,0.164,0.0906,0.0,0.17,0.264,122.955,142893.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86256,3594445.0,6.0,14.0,0.515,0.587,4.0,-7.136,1.0,0.0383,0.00662,0.0,0.14,0.361,148.044,195667.0,4.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65467,9945189.0,4.0,11.0,0.584,0.835,9.0,-4.326,0.0,0.0297,0.0411,0.0147,0.199,0.781,142.2,212093.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16262,12622150.0,4.0,16.0,0.591,0.585,2.0,-6.35,1.0,0.0277,0.143,0.0,0.109,0.324,110.94,205473.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49811,18703210.0,2.0,2.0,0.731,0.595,9.0,-7.734,0.0,0.15,0.0588,8.67e-06,0.248,0.362,140.072,227365.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
324,12622150.0,3.0,16.0,0.667,0.583,11.0,-5.127,0.0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22824,3520064.0,3.0,18.0,0.745,0.576,8.0,-6.688,1.0,0.132,0.144,0.0,0.154,0.16,157.083,214611.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83333,30723081.0,1.0,1.0,0.638,0.679,4.0,-5.278,1.0,0.0425,0.0016,0.00655,0.121,0.596,81.045,181880.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88168,2237000.0,18.0,18.0,0.909,0.649,0.0,-5.118,1.0,0.0969,0.258,0.0,0.11,0.422,114.995,176959.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10859,34697267.0,1.0,1.0,0.64,0.321,0.0,-14.604,1.0,0.0931,0.693,0.0307,0.114,0.177,145.045,210376.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
84005,7325898.0,1.0,1.0,0.764,0.538,8.0,-5.358,1.0,0.271,0.18,0.0,0.0967,0.233,129.942,224330.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85161,6344939.0,8.0,16.0,0.57,0.639,7.0,-4.892,0.0,0.293,0.625,0.0,0.121,0.85,81.465,135441.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59632,29173640.0,12.0,18.0,0.507,0.48,5.0,-5.418,1.0,0.0266,0.449,0.0,0.147,0.35,86.046,204427.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
51262,4046263.0,1.0,1.0,0.638,0.658,3.0,-6.318,1.0,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,205748.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68599,2691848.0,1.0,1.0,0.531,0.786,5.0,-6.661,1.0,0.243,0.00222,0.000316,0.132,0.244,169.892,200733.0,4.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47509,39214943.0,6.0,17.0,0.702,0.608,3.0,-6.843,1.0,0.0359,0.0736,0.0,0.129,0.597,75.012,195333.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
86835,5045736.0,12.0,14.0,0.705,0.453,3.0,-8.174,1.0,0.196,0.257,0.0,0.143,0.283,124.942,226494.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
